stepNum,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,length,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,label,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,color_mask,coordinate,checked,endppoint1_X,endppoint1_Y,endppoint2_X,endppoint2_Y,noise_bac,id,divideFlag,daughters_index,bad_division_flag,unexpected_end,division_time,transition,LifeHistory,difference_neighbors,parent_id,daughter_orientation,daughter_length_to_mother,daughters_distance,bac_length_to_back,next_to_first_bac_length_ratio,mother_last_to_first_bac_length_ratio,bac_length_to_back_orientation_changes,max_daughter_len_to_mother,bacteria_movement,bacteria_slope,direction_of_motion,angle_between_neighbor_motion_bac_motion,cellAge,growthRate,startVol,targetVol,pos,time,radius,dir,ends,strainRate,strainRate_rolling,gfp_intensity,rfp_intensity,transconjugant_flag
1,1,268,78.57886567,15.16083582,4.772149068,1.502005849,-2.991596928,0,0.051069442,0.000591913,78.57886567,15.16083582,0,8.587973392,1,1,1,0,0,,,TRUE,76.21958266,14.80427538,80.93814868,15.51739626,FALSE,1,TRUE,"[4111, 4112]",FALSE,FALSE,12,FALSE,11,0,0,,,,,,,,,,0.151130846,0,0,1,0.454,4.772149068,6.969936363,"[78.57886567164178, 15.160835820895521]",0.083333333,0.751002925,"[-0.9887717166713967, -0.1494339061615507]","[[76.21958265870923, 14.804275382910957], [80.93814868457433, 15.517396258880085]]",0,0,0.051069442,0.000591913,0
1,2,172,40.09395349,16.44362791,3.033084671,1.501994941,-1.867948987,0,0.059902307,0.000811922,40.09395349,16.44362791,0,84.0436013,2,2,1,0,0,,,TRUE,39.64991164,14.99354946,40.53799533,17.89370635,FALSE,2,TRUE,"[5542, 5545]",FALSE,FALSE,15,FALSE,14,0,0,,,,,,,,,,3.265634679,0,0,1,0.631,3.033084671,6.122175109,"[40.093953488372094, 16.443627906976744]",0.083333333,0.750997471,"[-0.29279884488459096, -0.9561740617869997]","[[39.64991164433431, 14.99354946221939], [40.53799533240988, 17.893706351734096]]",0,0,0.059902307,0.000811922,0
1,3,172,41.72651163,18.67227907,3.017159845,1.517280741,-2.423986791,0,0.058636163,0.000566003,41.72651163,18.67227907,0,132.6416951,3,3,1,0,0,,,TRUE,40.58997432,17.68026277,42.86304893,19.66429537,FALSE,3,TRUE,"[7163, 7164]",FALSE,FALSE,18,FALSE,17,0,0,,,,,,,,,,0.872840945,0,0,1,0.626,3.017159845,7.200365628,"[41.72651162790697, 18.672279069767438]",0.083333333,0.758640371,"[-0.7533822303186911, -0.6575828579274514]","[[40.58997432118293, 17.680262772833252], [42.86304893463102, 19.664295366701623]]",0,0,0.058636163,0.000566003,0
1,4,130,30.7152,24.94190769,2.604229624,1.324407221,-1.572775919,0,0.061586352,0.000488289,30.7152,24.94190769,0,83.57008566,4,4,1,0,0,,,TRUE,30.71262235,23.63979543,30.71777765,26.24401995,FALSE,4,TRUE,"[4574, 4585]",FALSE,FALSE,13,FALSE,12,0,0,,,,,,,,,,505.1538534,0,0,1,0.798,2.604229624,5.66746586,"[30.7152, 24.94190769230769]",0.083333333,0.662203611,"[-0.001979591037368347, -0.9999980406077428]","[[30.71262234518819, 23.639795431485044], [30.717777654811808, 26.244019953130337]]",0,0,0.061586352,0.000488289,0
1,5,234,26.40738462,25.83815385,4.558068721,1.366796826,-1.133879432,0,0.000404299,0.19904416,26.40738462,25.83815385,0,99.88127093,5,5,1,0,0,,,TRUE,27.37175345,23.77321066,25.44301578,27.90309703,FALSE,5,TRUE,"[1695, 1697]",FALSE,FALSE,6,FALSE,5,0,0,,,,,,,,,,-2.141237998,0,0,1,0.338,4.558068721,5.084315444,"[26.407384615384615, 25.838153846153844]",0.083333333,0.683398413,"[0.42314800042958184, -0.9060605772973718]","[[27.371753447845297, 23.773210658002522], [25.443015782923933, 27.903097034305166]]",0,0,0.000404299,0.19904416,0
1,6,137,21.83124088,25.56262774,2.842811459,1.273605565,-1.089819558,0,0.055314289,0.000370672,21.83124088,25.56262774,0,60.09101042,6,6,1,0,0,,,TRUE,22.48884762,24.3024898,21.17363413,26.82276567,FALSE,6,TRUE,"[6060, 6073]",FALSE,FALSE,16,FALSE,15,0,0,,,,,,,,,,-1.916248501,0,0,1,0.651,2.842811459,6.005963812,"[21.831240875912407, 25.562627737226276]",0.083333333,0.636802783,"[0.4626453445065229, -0.8865434480082974]","[[22.48884761922451, 24.302489800960494], [21.173634132600302, 26.822765673492057]]",0,0,0.055314289,0.000370672,0
1,7,131,30.94131298,27.36879389,2.645164809,1.310023763,-1.666844693,0,0.060498878,0.000511119,30.94131298,27.36879389,0,66.02259744,7,7,1,0,0,,,TRUE,30.81447633,26.0523074,31.06814963,28.68528038,FALSE,7,TRUE,"[3685, 3704]",FALSE,FALSE,11,FALSE,10,0,0,,,,,,,,,,10.3793854,0,0,1,0.733,2.645164809,4.693021663,"[30.941312977099237, 27.36879389312977]",0.083333333,0.655011881,"[-0.09590075546475754, -0.9953909006522457]","[[30.81447632532682, 26.052307402156725], [31.068149628871655, 28.685280384102814]]",0,0,0.060498878,0.000511119,0
1,8,156,65.96307692,27.15046154,2.759119696,1.498818278,-2.63201807,0,0.060805638,0.000434686,65.96307692,27.15046154,0,135.5481752,8,8,1,0,0,,,TRUE,64.75878725,26.47750407,67.1673666,27.823419,FALSE,8,TRUE,"[71606, 71618]",FALSE,FALSE,77,FALSE,76,0,0,,,,,,,,,,0.558800327,0,0,1,-0.014,2.759119696,2.767563266,"[65.96307692307693, 27.150461538461535]",0.083333333,0.749409139,"[-0.8729521073940033, -0.4878059226745495]","[[64.7587872463655, 26.477504073854025], [67.16736659978835, 27.823419003069045]]",0,0,0.060805638,0.000434686,0
1,9,136,20.39505882,27.65435294,2.890071786,1.245148973,-1.315301463,0,0.05476104,0.000362177,20.39505882,27.65435294,0,83.32030135,9,9,1,0,0,,,TRUE,20.76025442,26.2562253,20.02986323,29.05248059,FALSE,9,TRUE,"[4134, 4140]",FALSE,FALSE,12,FALSE,11,0,0,,,,,,,,,,-3.828435114,0,0,1,0.694,2.890071786,5.239848253,"[20.39505882352941, 27.654352941176466]",0.083333333,0.622574486,"[0.2527242388248772, -0.9675383502013687]","[[20.760254419658946, 26.256225297294947], [20.029863227399876, 29.052480585057985]]",0,0,0.05476104,0.000362177,0
1,10,150,56.08992,28.19616,2.781288718,1.436941612,-2.353089731,0,0.003728898,0.062575418,56.08992,28.19616,0,154.3900978,10,10,1,0,0,,,TRUE,55.10964369,27.20977767,57.07019631,29.18254233,FALSE,10,TRUE,"[7804, 7817]",FALSE,FALSE,19,FALSE,18,0,0,,,,,,,,,,1.006228877,0,0,1,0.202,2.781288718,3.715721782,"[56.08991999999999, 28.19616]",0.083333333,0.718470806,"[-0.7049079806621861, -0.7092987655415446]","[[55.10964369312562, 27.20977767290186], [57.070196306874365, 29.182542327098137]]",0,0,0.003728898,0.062575418,0
