stepNum,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,length,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,label,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,color_mask,coordinate,checked,endppoint1_X,endppoint1_Y,endppoint2_X,endppoint2_Y,noise_bac,id,divideFlag,daughters_index,bad_division_flag,unexpected_end,division_time,transition,LifeHistory,difference_neighbors,parent_id,daughter_orientation,daughter_length_to_mother,daughters_distance,bac_length_to_back,next_to_first_bac_length_ratio,mother_last_to_first_bac_length_ratio,bac_length_to_back_orientation_changes,max_daughter_len_to_mother,bacteria_movement,bacteria_slope,direction_of_motion,angle_between_neighbor_motion_bac_motion,cellAge,growthRate,startVol,targetVol,pos,time,radius,dir,ends,strainRate,strainRate_rolling,gfp_intensity,rfp_intensity,transconjugant_flag
1,1,206,43.99339806,38.29840777,4.472155435,1.245409306,-0.65914724,0,0.006108053,0.225882116,43.99339806,38.29840777,0,72.21255437,1,1,1,0,0,,,TRUE,45.76105056,36.92893772,42.22574556,39.66787781,FALSE,1,TRUE,"[181, 182]",FALSE,FALSE,4,FALSE,3,0,0,,,,,,,,,,-0.774739406,0,0,1,-0.438,4.472155435,4.157199779,"[43.993398058252424, 38.29840776699029]",0.083333333,0.622704653,"[0.7905147854937083, -0.6124429556422674]","[[45.76105055534167, 36.92893772072208], [42.22574556116318, 39.66787781325849]]",0,0,0.006108053,0.225882116,0
1,2,135,47.43786667,38.65386667,3.058658551,1.182990263,-2.750841618,0,0.048961794,0.01780174,47.43786667,38.65386667,0,86.06308918,2,2,1,0,0,,,TRUE,46.02381324,38.07137122,48.85192009,39.23636211,FALSE,2,TRUE,"[871, 877]",FALSE,FALSE,13,FALSE,12,0,0,,,,,,,,,,0.411933121,0,0,1,0.87,3.058658551,6.929393804,"[47.437866666666665, 38.653866666666666]",0.083333333,0.591495132,"[-0.9246232640744358, -0.3808829472847741]","[[46.02381323987847, 38.071371224750266], [48.85192009345486, 39.236362108583066]]",0,0,0.048961794,0.01780174,0
1,3,110,45.0576,38.91927273,2.548428562,1.15523827,-0.293663796,0,0.051392941,0.052132587,45.0576,38.91927273,0,131.007443,3,3,1,0,0,,,TRUE,46.27726488,38.55043725,43.83793512,39.28810821,FALSE,3,TRUE,"[1336, 1339]",FALSE,FALSE,18,FALSE,17,0,0,,,,,,,,,,-0.302407229,0,0,1,0.96,2.548428562,9.250604206,"[45.057599999999994, 38.91927272727272]",0.083333333,0.577619135,"[0.9571897757716242, -0.28946110819636506]","[[46.2772648819017, 38.55043724941896], [43.83793511809829, 39.28810820512648]]",0,0,0.051392941,0.052132587,0
1,4,218,41.77585321,40.58223853,4.508861123,1.29930657,-1.53454024,0,0.055909897,0.01123988,41.77585321,40.58223853,0,34.67374915,4,4,1,0,0,,,TRUE,41.85757214,38.32928954,41.69413429,42.83518753,FALSE,4,TRUE,"[387, 399]",FALSE,FALSE,7,FALSE,6,0,0,,,,,,,,,,-27.56948884,0,0,1,0.79,4.508861123,6.233414777,"[41.77585321100917, 40.58223853211009]",0.083333333,0.649653285,"[0.03624814467742319, -0.9993428200609862]","[[41.85757213617534, 38.3292895369363], [41.694134285843, 42.83518752728388]]",0,0,0.055909897,0.01123988,0
1,5,167,47.48809581,39.83971257,3.354880613,1.343605335,-2.825182096,0,0.008583428,0.137226303,47.48809581,39.83971257,0,135.2457837,5,5,1,0,0,,,TRUE,45.89392629,39.31776475,49.08226533,40.3616604,FALSE,5,TRUE,"[186, 189]",FALSE,FALSE,4,FALSE,3,0,0,,,,,,,,,,0.32741049,0,0,1,0.688,3.354880613,3.762228148,"[47.488095808383235, 39.839712574850296]",0.083333333,0.671802667,"[-0.9503584192861904, -0.31115731534362734]","[[45.893926290046096, 39.317764752363495], [49.082265326720375, 40.3616603973371]]",0,0,0.008583428,0.137226303,0
1,6,82,45.25814634,39.97580488,1.820190013,1.192794648,-0.185367256,0,0.009065348,0.156532258,45.25814634,39.97580488,0,142.8049431,6,6,1,0,0,,,TRUE,46.15265017,39.80806753,44.36364251,40.14354222,FALSE,6,TRUE,"[1447, 1460]",FALSE,FALSE,19,FALSE,18,0,0,,,,,,,,,,-0.187519985,0,0,1,0.611,1.820190013,4.481911521,"[45.258146341463416, 39.97580487804878]",0.083333333,0.596397324,"[0.9828686289018397, -0.1843075102121932]","[[46.15265017266914, 39.80806753334484], [44.36364251025769, 40.143542222752714]]",0,0,0.009065348,0.156532258,0
1,7,80,43.5996,40.0788,1.824386269,1.164421376,-0.074174673,0,0.007129778,0.161697567,43.5996,40.0788,0,87.25248551,7,7,1,0,0,,,TRUE,44.5092849,40.0112004,42.6899151,40.1463996,FALSE,7,TRUE,"[1558, 1566]",FALSE,FALSE,20,FALSE,19,0,0,,,,,,,,,,-0.074311006,0,0,1,0.62,1.824386269,4.88104391,"[43.599599999999995, 40.078799999999994]",0.083333333,0.582210688,"[0.9972503200165316, -0.07410667464490213]","[[44.509284895302045, 40.011200400167915], [42.689915104697945, 40.14639959983207]]",0,0,0.007129778,0.161697567,0
1,8,139,53.51102158,41.03585612,2.573459432,1.428137821,-2.274945087,0,0.000602896,0.172453732,53.51102158,41.03585612,0,18.66047659,8,8,1,0,0,,,TRUE,52.6780117,40.05515845,54.34403146,42.01655378,FALSE,8,FALSE,,FALSE,FALSE,0,FALSE,75,0,0,,,,,,,,,,1.177294157,0,0,1,-0.012,2.573459432,2.434542835,"[53.51102158273381, 41.03585611510791]",0.083333333,0.714068911,"[-0.64738528041742, -0.7621629082413145]","[[52.67801170462724, 40.05515845253195], [54.344031460840384, 42.016553777683875]]",0,0,0.000602896,0.172453732,0
1,9,156,46.41415385,41.01876923,3.024832576,1.36451926,-0.059565613,0,0.001199203,0.129811239,46.41415385,41.01876923,0,90.27160533,9,9,1,0,0,,,TRUE,47.92388785,40.92873449,44.90441984,41.10880397,FALSE,9,TRUE,"[392, 398]",FALSE,FALSE,7,FALSE,6,0,0,,,,,,,,,,-0.05963616,0,0,1,0.511,3.024832576,3.709714069,"[46.414153846153845, 41.01876923076922]",0.083333333,0.68225963,"[0.9982264933671635, -0.05953039509272695]","[[47.92388785371406, 40.928734491607145], [44.90441983859363, 41.1088039699313]]",0,0,0.001199203,0.129811239,0
1,10,152,43.73052632,41.26452632,2.814915415,1.441605473,-3.06102168,0,0.004408653,0.114648661,43.73052632,41.26452632,0,56.1495552,10,10,1,0,0,,,TRUE,42.32763452,41.15124873,45.13341811,41.3778039,FALSE,10,TRUE,"[395, 397]",FALSE,FALSE,7,FALSE,6,0,0,,,,,,,,,,0.080745774,0,0,1,0.655,2.814915415,3.672835606,"[43.73052631578947, 41.26452631578947]",0.083333333,0.720802736,"[-0.9967559146799553, -0.08048382788191509]","[[42.32763452094321, 41.15124873188909], [45.13341811063573, 41.377803899689845]]",0,0,0.004408653,0.114648661,0
