stepNum,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,length,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,label,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,color_mask,coordinate,checked,endppoint1_X,endppoint1_Y,endppoint2_X,endppoint2_Y,noise_bac,id,divideFlag,daughters_index,bad_division_flag,unexpected_end,division_time,transition,LifeHistory,difference_neighbors,parent_id,daughter_orientation,daughter_length_to_mother,daughters_distance,bac_length_to_back,next_to_first_bac_length_ratio,mother_last_to_first_bac_length_ratio,bac_length_to_back_orientation_changes,max_daughter_len_to_mother,bacteria_movement,bacteria_slope,direction_of_motion,angle_between_neighbor_motion_bac_motion,cellAge,growthRate,startVol,targetVol,pos,time,radius,dir,ends,strainRate,strainRate_rolling,gfp_intensity,rfp_intensity,transconjugant_flag
1,1,328,9.171658537,13.24097561,5.230761049,1.671966566,-2.58401504,0,0.053387224,0.000184225,9.171658537,13.24097561,0,59.13930102,1,1192,1,0,0,,,TRUE,6.952405215,11.8570934,11.39091186,14.62485782,FALSE,1,FALSE,,FALSE,FALSE,0,FALSE,2,0,0,,,,,,,,,,0.623580103,0,0,1,0.569,5.230761049,5.484981177,"[9.171658536585365, 13.240975609756097]",0.083333333,0.835983283,"[-0.8485393619835039, -0.529132262449218]","[[6.95240521516934, 11.857093395778577], [11.390911858001392, 14.624857823733617]]",0,0,0.053387224,0.000184225,0
1,2,195,12.72664615,14.55655385,3.624050553,1.420599602,-0.237416686,0,0.055521243,0.000173092,12.72664615,14.55655385,0,108.8286339,2,1193,1,0,0,,,TRUE,14.48784194,14.13037897,10.96545037,14.98272872,FALSE,2,FALSE,,FALSE,FALSE,0,FALSE,2,0,0,,,,,,,,,,-0.241980408,0,0,1,0.8,3.624050553,3.873891014,"[12.726646153846154, 14.556553846153845]",0.083333333,0.710299801,"[0.9719487934621895, -0.23519256554447898]","[[14.48784193519165, 14.130378972511313], [10.965450372500658, 14.982728719796377]]",0,0,0.055521243,0.000173092,0
1,3,299,68.95673579,19.47997324,5.365952872,1.508088317,-2.633131195,0,0.061924071,0.000174535,68.95673579,19.47997324,0,7.93343284,3,3,1,0,0,,,TRUE,66.61317048,18.17380932,71.3003011,20.78613717,FALSE,3,TRUE,"[292, 293]",FALSE,FALSE,2,FALSE,1,0,0,5.815372256,1.071818765,0.451604892,,,,,0.554260205,,0.557340527,0,0,1,,5.365952872,5.365952872,"[68.95673578595317, 19.479973244147153]",0.083333333,0.754044158,"[-0.8734945555583231, -0.48683391563239264]","[[66.6131704763524, 18.17380932022444], [71.30030109555395, 20.786137168069867]]",0,0,0.061924071,0.000174535,0
1,4,170,40.26832941,22.68084706,2.78176082,1.627137977,-0.594343235,0,3.23E-06,0.128402336,40.26832941,22.68084706,0,49.04733382,4,4,1,0,0,,,TRUE,41.4206967,21.90200308,39.11596212,23.45969104,FALSE,4,TRUE,"[4157, 4160]",FALSE,FALSE,13,FALSE,12,0,0,,,,,,,,,,-0.675864359,0,0,1,0.286,2.78176082,3.770827469,"[40.268329411764704, 22.680847058823527]",0.083333333,0.813568989,"[0.8285164426774205, -0.5599647347942124]","[[41.42069670110526, 21.902003079003627], [39.11596212242415, 23.459691038643427]]",0,0,3.23E-06,0.128402336,0
1,5,162,38.15733333,24.08533333,2.861726553,1.505896051,-0.640216342,0,5.84E-05,0.128136224,38.15733333,24.08533333,0,110.57523,5,5,1,0,0,,,TRUE,39.30483781,23.23058003,37.00982886,24.94008663,FALSE,5,TRUE,"[3739, 3746]",FALSE,FALSE,12,FALSE,11,0,0,,,,,,,,,,-0.744880146,0,0,1,0.578,2.861726553,4.687137669,"[38.15733333333333, 24.08533333333333]",0.083333333,0.752948025,"[0.8019665408111006, -0.597368954181147]","[[39.304837805453204, 23.23058003435511], [37.00982886121345, 24.94008663231155]]",0,0,5.84E-05,0.128136224,0
1,6,150,53.30112,24.66048,2.606320562,1.523945593,-0.358167013,0,0.000244144,0.142684469,53.30112,24.66048,0,3.448740327,6,6,1,0,0,,,TRUE,54.52158299,24.20364654,52.08065701,25.11731346,FALSE,6,TRUE,"[36320, 36349]",FALSE,FALSE,53,FALSE,52,0,0,,,,,,,,,,-0.374311609,0,0,1,-0.037,2.606320562,2.38419422,"[53.30111999999999, 24.660479999999996]",0.083333333,0.761972797,"[0.9365409651441287, -0.35055815581284655]","[[54.52158298728778, 24.203646535170616], [52.0806570127122, 25.117313464829376]]",0,0,0.000244144,0.142684469,0
1,7,154,54.67231169,25.45246753,2.735268695,1.488166398,-0.851962566,0,0.000743531,0.140938272,54.67231169,25.45246753,0,173.9865573,7,7,1,0,0,,,TRUE,55.57290908,24.42322118,53.7717143,26.48171388,FALSE,7,TRUE,"[2590, 2598]",FALSE,FALSE,9,FALSE,8,0,0,,,,,,,,,,-1.14284847,0,0,1,0.612,2.735268695,3.849784088,"[54.672311688311694, 25.45246753246753]",0.083333333,0.744083199,"[0.6585074381342404, -0.7525742182149742]","[[55.572909078920695, 24.42322118244248], [53.771714297702694, 26.48171388249258]]",0,0,0.000743531,0.140938272,0
1,8,194,59.04296907,26.43364948,4.132854898,1.263875547,-1.907446381,0,0.076018874,0.002157657,59.04296907,26.43364948,0,158.1007853,8,8,1,0,0,,,TRUE,58.36037219,24.48321776,59.72556596,28.38408121,FALSE,8,TRUE,"[4155, 4168]",FALSE,FALSE,13,FALSE,12,0,0,,,,,,,,,,2.857369802,0,0,1,0.819,4.132854898,8.801370658,"[59.04296907216494, 26.433649484536083]",0.083333333,0.631937774,"[-0.3303270499246601, -0.9438665372223295]","[[58.360372189013106, 24.483217763712073], [59.72556595531677, 28.384081205360093]]",0,0,0.076018874,0.002157657,0
1,9,120,60.078,25.9884,2.571742249,1.239350169,-1.796820667,0,0.077739122,0.013312988,60.078,25.9884,0,133.9226952,9,9,1,0,0,,,TRUE,59.78983015,24.73523493,60.36616985,27.24156507,FALSE,9,TRUE,"[24782, 24824]",FALSE,FALSE,42,FALSE,41,0,0,,,,,,,,,,4.348702973,0,0,1,0.164,2.571742249,6.351563986,"[60.077999999999996, 25.9884]",0.083333333,0.619675085,"[-0.22410476527319573, -0.9745650589785404]","[[59.789830153424525, 24.735234931504905], [60.36616984657547, 27.241565068495092]]",0,0,0.077739122,0.013312988,0
1,10,157,61.38802548,26.53910828,2.949291022,1.415479348,-1.729584306,0,0.01252134,0.141178415,61.38802548,26.53910828,0,87.89144641,10,10,1,0,0,,,TRUE,61.15485224,25.08301432,61.62119871,27.99520224,FALSE,10,FALSE,,FALSE,FALSE,0,FALSE,45,0,0,,,,,,,,,,6.244687414,0,0,1,-0.017,2.949291022,2.867823863,"[61.388025477707, 26.539108280254776]",0.083333333,0.707739674,"[-0.15812155031375633, -0.9874196551245951]","[[61.15485224332018, 25.083014318200522], [61.621198712093815, 27.99520224230903]]",0,0,0.01252134,0.141178415,0
