stepNum,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,length,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,label,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,color_mask,coordinate,checked,endppoint1_X,endppoint1_Y,endppoint2_X,endppoint2_Y,noise_bac,id,divideFlag,daughters_index,bad_division_flag,unexpected_end,division_time,transition,LifeHistory,difference_neighbors,parent_id,daughter_orientation,daughter_length_to_mother,daughters_distance,bac_length_to_back,next_to_first_bac_length_ratio,mother_last_to_first_bac_length_ratio,bac_length_to_back_orientation_changes,max_daughter_len_to_mother,bacteria_movement,bacteria_slope,direction_of_motion,angle_between_neighbor_motion_bac_motion,cellAge,growthRate,startVol,targetVol,pos,time,radius,dir,ends,strainRate,strainRate_rolling,gfp_intensity,rfp_intensity,transconjugant_flag
1,1,217,68.47299539,40.98094009,4.360041406,1.331266104,-0.421754661,0,0.064579556,0.000221643,68.47299539,40.98094009,0,12.04038323,1,1,1,0,0,,,TRUE,70.46198536,40.08852249,66.48400543,41.8733577,FALSE,1,TRUE,"[85, 86]",FALSE,FALSE,5,FALSE,4,0,0,,,,,,,,,,-0.448678787,0,0,1,0.837,4.360041406,5.361905482,"[68.47299539170506, 40.980940092165895]",0.083333333,0.665633052,"[0.9123720535772064, -0.4093619863291059]","[[70.4619853574938, 40.08852248687913], [66.48400542591631, 41.87335769745266]]",0,0,0.064579556,0.000221643,0
1,2,117,70.92307692,51.57046154,2.106086798,1.470032069,-3.062499021,0,9.39E-06,0.105605474,70.92307692,51.57046154,0,55.87611824,2,2,1,0,0,,,TRUE,69.87332562,51.48725932,71.97282822,51.65366375,FALSE,2,TRUE,"[288, 289]",FALSE,FALSE,13,FALSE,12,0,0,,,,,,,,,,0.079258978,0,0,1,0.62,2.106086798,3.714663111,"[70.92307692307692, 51.57046153846154]",0.083333333,0.735016034,"[-0.9968737289094654, -0.0790111929421259]","[[69.87332562345847, 51.487259323306226], [71.97282822269537, 51.65366375361685]]",0,0,9.39E-06,0.105605474,0
1,3,116,73.78510345,52.3377931,2.155472242,1.419117285,-2.940656576,0,5.05E-05,0.102942098,73.78510345,52.3377931,0,99.04863204,3,3,1,0,0,,,TRUE,72.72905119,52.12269135,74.84115571,52.55289486,FALSE,3,FALSE,,FALSE,FALSE,0,FALSE,7,0,0,,,,,,,,,,0.203684764,0,0,1,0.44,2.155472242,2.722971445,"[73.78510344827585, 52.33779310344827]",0.083333333,0.709558643,"[-0.979880178478638, -0.199586662441839]","[[72.7290511857519, 52.122691348080025], [74.8411557107998, 52.552894858816515]]",0,0,5.05E-05,0.102942098,0
1,4,224,73.18414286,58.09435714,4.518113121,1.329663342,-1.158737385,0,0.050087467,0.000605184,73.18414286,58.09435714,0,52.90841825,4,4,1,0,0,,,TRUE,74.08888773,56.02438776,72.27939798,60.16432653,FALSE,4,TRUE,"[45, 46]",FALSE,FALSE,3,FALSE,2,0,0,,,,,,,,,,-2.287903954,0,0,1,0.47,4.518113121,4.698704882,"[73.18414285714285, 58.09435714285714]",0.083333333,0.664831671,"[0.40049677979861326, -0.9162981661942476]","[[74.08888773495818, 56.02438775925138], [72.27939797932751, 60.1643265264629]]",0,0,0.050087467,0.000605184,0
1,5,140,75.07542857,59.71577143,3.002978225,1.245554038,-1.363473207,0,0.050845677,0.000593794,75.07542857,59.71577143,0,81.04245764,5,260,1,0,0,,,TRUE,75.38449672,58.24643606,74.76636042,61.1851068,FALSE,5,FALSE,,FALSE,FALSE,0,FALSE,2,0,0,,,,,,,,,,-4.754082178,0,0,1,0.019,3.002978225,3.007806867,"[75.07542857142857, 59.71577142857142]",0.083333333,0.622777019,"[0.20584108464360265, -0.9785854320767018]","[[75.38449671892592, 58.24643605665818], [74.76636042393123, 61.18510680048466]]",0,0,0.050845677,0.000593794,0
1,6,93,68.8676129,60.53109677,1.976742543,1.246149029,-3.140321925,0,0.000788875,0.109035392,68.8676129,60.53109677,0,64.84168507,6,6,1,0,0,,,TRUE,67.87924243,60.52984082,69.85598338,60.53235273,FALSE,6,TRUE,"[296, 297]",FALSE,FALSE,13,FALSE,12,0,0,,,,,,,,,,0.001270729,0,0,1,0.765,1.976742543,4.000680328,"[68.8676129032258, 60.53109677419355]",0.083333333,0.623074515,"[-0.99999919262516, -0.0012707277552747277]","[[67.8792424296187, 60.52984082338622], [69.85598337683291, 60.53235272500088]]",0,0,0.000788875,0.109035392,0
1,7,168,72.97457143,61.506,3.477589216,1.291438188,-1.462721366,0,0.074925431,0.002445803,72.97457143,61.506,0,49.76718814,7,7,1,0,0,,,TRUE,73.16212598,59.77735024,72.78701688,63.23464976,FALSE,7,TRUE,"[189, 196]",FALSE,FALSE,9,FALSE,8,0,0,,,,,,,,,,-9.216783997,0,0,1,0.822,3.477589216,5.634332143,"[72.97457142857144, 61.50599999999999]",0.083333333,0.645719094,"[0.10786469380904878, -0.9941655837080059]","[[73.16212597653788, 59.7773502437949], [72.787016880605, 63.23464975620509]]",0,0,0.074925431,0.002445803,0
1,8,100,70.73712,60.6744,1.985404888,1.333983448,-3.117109965,0,0.00603769,0.081187153,70.73712,60.6744,0,40.07021473,8,8,1,0,0,,,TRUE,69.74471505,60.6500984,71.72952495,60.6987016,FALSE,8,TRUE,"[354, 358]",FALSE,FALSE,15,FALSE,14,0,0,,,,,,,,,,0.024487581,0,0,1,0.772,1.985404888,4.65175468,"[70.73711999999999, 60.6744]",0.083333333,0.666991724,"[-0.9997003139602564, -0.024480242395956177]","[[69.74471505496629, 60.65009840354143], [71.72952494503369, 60.69870159645857]]",0,0,0.00603769,0.081187153,0
1,9,128,66.84975,61.164,2.597718153,1.307469081,-0.125548059,0,0.000378614,0.204556726,66.84975,61.164,0,126.5771744,9,9,1,0,0,,,TRUE,68.138386,61.00135882,65.561114,61.32664118,FALSE,9,TRUE,"[522, 528]",FALSE,FALSE,20,FALSE,19,0,0,,,,,,,,,,-0.126211888,0,0,1,0.556,2.597718153,6.0325027,"[66.84975, 61.163999999999994]",0.083333333,0.65373454,"[0.9921291890930384, -0.12521849763349704]","[[68.13838600235135, 61.00135881779833], [65.56111399764865, 61.32664118220166]]",0,0,0.000378614,0.204556726,0
1,10,142,69.31064789,61.69892958,3.093485976,1.211909599,-3.1272795,0,0.006411798,0.143627371,69.31064789,61.69892958,0,124.1855225,10,10,1,0,0,,,TRUE,67.76406333,61.67679156,70.85723244,61.72106759,FALSE,10,TRUE,"[51, 52]",FALSE,FALSE,3,FALSE,2,0,0,,,,,,,,,,0.014314131,0,0,1,0.234,3.093485976,3.15439932,"[69.31064788732394, 61.698929577464796]",0.083333333,0.6059548,"[-0.9998975685706735, -0.014312664547712555]","[[67.76406333448412, 61.67679156393696], [70.85723244016376, 61.72106759099263]]",0,0,0.006411798,0.143627371,0
