stepNum,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,length,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,label,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,color_mask,coordinate,checked,endppoint1_X,endppoint1_Y,endppoint2_X,endppoint2_Y,noise_bac,id,divideFlag,daughters_index,bad_division_flag,unexpected_end,division_time,transition,LifeHistory,difference_neighbors,parent_id,daughter_orientation,daughter_length_to_mother,daughters_distance,bac_length_to_back,next_to_first_bac_length_ratio,mother_last_to_first_bac_length_ratio,bac_length_to_back_orientation_changes,max_daughter_len_to_mother,bacteria_movement,bacteria_slope,direction_of_motion,angle_between_neighbor_motion_bac_motion,cellAge,growthRate,startVol,targetVol,pos,time,radius,dir,ends,strainRate,strainRate_rolling,gfp_intensity,rfp_intensity,transconjugant_flag
1,1,276,5.352521739,18.0026087,4.700044367,1.562581298,-1.374495234,0,0.05122122,0.000173378,5.352521739,18.0026087,0,3.476869914,1,1,1,0,0,,,TRUE,5.810876658,15.69771932,4.894166821,20.30749807,FALSE,1,TRUE,"[74, 75]",FALSE,FALSE,3,FALSE,2,0,0,,,,,,,,,,-5.028612725,0,0,1,1.178,4.700044367,5.184725811,"[5.352521739130434, 18.00260869565217]",0.083333333,0.781290649,"[0.19504280496485973, -0.9807947309358058]","[[5.810876657558294, 15.69771932035042], [4.894166820702573, 20.307498070953923]]",0,0,0.05122122,0.000173378,0
1,2,211,70.75654976,26.9703128,3.855596124,1.46909275,-1.609860135,0,1.16E-06,0.387853963,70.75654976,26.9703128,0,5.126430201,2,2,1,0,0,,,TRUE,70.68126178,25.04398544,70.83183774,28.89664015,FALSE,2,TRUE,"[501, 502]",FALSE,FALSE,13,FALSE,12,0,0,,,,,,,,,,25.58612024,0,0,1,0.035,3.855596124,3.937480865,"[70.75654976303316, 26.970312796208535]",0.083333333,0.734546375,"[-0.039053873631320346, -0.9992371064739284]","[[70.68126178112394, 25.04398543863486], [70.83183774494239, 28.89664015378221]]",0,0,1.16E-06,0.387853963,0
1,3,123,77.00604878,31.39668293,2.210974327,1.472409357,-1.932689568,0,4.96E-07,0.115794887,77.00604878,31.39668293,0,155.3065239,3,3,1,0,0,,,TRUE,76.61465605,30.36280015,77.39744151,32.4305657,FALSE,3,TRUE,"[451, 452, 453]",TRUE,FALSE,12,FALSE,11,0,0,,,,,,,,,,2.641548219,0,0,1,0.481,2.210974327,3.279253242,"[77.0060487804878, 31.396682926829264]",0.083333333,0.736204679,"[-0.3540454797136329, -0.9352282065326856]","[[76.61465604728298, 30.362800149336543], [77.39744151369263, 32.430565704321985]]",0,0,4.96E-07,0.115794887,0
1,4,134,78.02758209,33.16620896,2.290287175,1.550490465,-2.049346775,0,9.11E-07,0.122239342,78.02758209,33.16620896,0,124.2337094,4,4,1,0,0,,,TRUE,77.50025155,32.14970695,78.55491263,34.18271096,FALSE,4,FALSE,,FALSE,FALSE,0,FALSE,11,0,0,,,,,,,,,,1.927637266,0,0,1,0.655,2.290287175,3.961358131,"[78.02758208955223, 33.16620895522388]",0.083333333,0.775245233,"[-0.4604929460014247, -0.887663363377654]","[[77.50025154524303, 32.14970694658764], [78.55491263386142, 34.18271096386012]]",0,0,9.11E-07,0.122239342,0
1,5,203,68.52413793,37.91739901,4.172415091,1.297510833,-0.121670914,0,0.055135131,0.000467843,68.52413793,37.91739901,0,1.232018729,5,5,1,0,0,,,TRUE,70.59492261,37.66419405,66.45335326,38.17060398,FALSE,5,TRUE,"[236, 237]",FALSE,FALSE,7,FALSE,6,0,0,,,,,,,,,,-0.122274888,0,0,1,0.774,4.172415091,5.790808329,"[68.52413793103449, 37.917399014778326]",0.083333333,0.648755416,"[0.9926072212438, -0.12137093694398957]","[[70.59492260583184, 37.664194050306605], [66.45335325623714, 38.170603979250046]]",0,0,0.055135131,0.000467843,0
1,6,122,72.36354098,40.57613115,2.083017783,1.550432988,-2.911260206,0,0.000165098,0.092285564,72.36354098,40.57613115,0,175.715395,6,6,1,0,0,,,TRUE,71.34953777,40.33835341,73.3775442,40.81390888,FALSE,6,FALSE,,FALSE,FALSE,0,FALSE,16,0,0,,,,,,,,,,0.234494063,0,0,1,0.427,2.083017783,3.378806088,"[72.36354098360655, 40.576131147540984]",0.083333333,0.775216494,"[-0.9735905505298014, -0.2283012043750062]","[[71.34953776870736, 40.338353413281304], [73.37754419850575, 40.813908881800664]]",0,0,0.000165098,0.092285564,0
1,7,120,73.9896,41.5308,2.100775993,1.51734117,-2.597971625,0,6.10E-06,0.088108644,73.9896,41.5308,0,3.052586294,7,7,1,0,0,,,TRUE,73.09063451,40.98749899,74.88856549,42.07410101,FALSE,7,TRUE,"[1414, 1415]",FALSE,FALSE,26,FALSE,25,0,0,,,,,,,,,,0.604362474,0,0,1,0.225,2.100775993,3.573043553,"[73.9896, 41.5308]",0.083333333,0.758670585,"[-0.8558413611506612, -0.5172384020389278]","[[73.09063450731199, 40.987498991153075], [74.888565492688, 42.074101008846924]]",0,0,6.10E-06,0.088108644,0
1,8,288,50.25,45.5455,4.863080533,1.576511253,-0.291921055,0,0.071398659,0.000585141,50.25,45.5455,0,42.09805424,8,8,1,0,0,,,TRUE,52.57866855,44.84572086,47.92133145,46.24527914,FALSE,8,TRUE,"[4506, 4509]",FALSE,FALSE,47,FALSE,46,0,0,,,,,,,,,,-0.300506115,0,0,1,-0.006,4.863080533,4.482990782,"[50.24999999999999, 45.5455]",0.083333333,0.788255627,"[0.9576927776763268, -0.28779253566866836]","[[52.57866855174098, 44.84572086115812], [47.921331448259004, 46.24527913884187]]",0,0,0.071398659,0.000585141,0
1,9,141,34.73361702,46.02280851,2.88399452,1.299804271,-0.222984138,0,0.055469683,0.00021341,34.73361702,46.02280851,0,18.1862565,9,248,1,0,0,,,TRUE,36.13991314,45.703924,33.32732091,46.34169302,FALSE,9,FALSE,,FALSE,TRUE,0,FALSE,1,0,0,,,,,,,,,,-0.226754885,0,0,1,,2.88399452,2.88399452,"[34.7336170212766, 46.02280851063829]",0.083333333,0.649902136,"[0.9752418778298412, -0.22114085946953596]","[[36.13991313688097, 45.703923997223576], [33.32732090567223, 46.34169302405301]]",0,0,0.055469683,0.00021341,0
1,10,159,37.50792453,46.06369811,3.207699328,1.313270985,-3.093647417,0,0.052829997,0.000364681,37.50792453,46.06369811,0,156.3919637,10,249,1,0,0,,,TRUE,35.90591793,45.98683062,39.10993112,46.14056561,FALSE,10,FALSE,,FALSE,TRUE,0,FALSE,1,0,0,,,,,,,,,,0.047982009,0,0,1,,3.207699328,3.207699328,"[37.507924528301885, 46.06369811320754]",0.083333333,0.656635492,"[-0.998850847295927, -0.04792686987701977]","[[35.90591793248673, 45.98683061905903], [39.10993112411704, 46.14056560735606]]",0,0,0.052829997,0.000364681,0
1,11,198,45.85090909,49.85745455,4.063042342,1.301699253,-0.964496791,0,0.000236746,0.186318824,45.85090909,49.85745455,0,111.1206703,11,250,1,0,0,,,TRUE,47.00853175,48.18802708,44.69328643,51.52688201,FALSE,11,FALSE,,FALSE,TRUE,0,FALSE,1,0,0,,,,,,,,,,-1.44211713,0,0,1,,4.063042342,4.063042342,"[45.85090909090909, 49.85745454545454]",0.083333333,0.650849627,"[0.5698304664385602, -0.8217622767676872]","[[47.008531747288316, 48.18802708277495], [44.69328643452987, 51.52688200813412]]",0,0,0.000236746,0.186318824,0
1,12,289,8.373923875,55.19734256,6.156872447,1.339078466,-1.627026375,0,0.083093558,0.00040381,8.373923875,55.19734256,0,110.3056772,12,12,1,0,0,,,TRUE,8.200914461,52.12377178,8.54693329,58.27091334,FALSE,12,TRUE,"[46, 47]",FALSE,FALSE,2,FALSE,1,0,0,14.81288181,1.452999846,3.764394999,,,,,0.968210318,,17.76533831,0,0,1,,6.156872447,6.156872447,"[8.373923875432526, 55.19734256055363]",0.083333333,0.669539233,"[-0.05620042184930601, -0.9984195073134139]","[[8.200914461045073, 52.12377178315855], [8.546933289819979, 58.270913337948706]]",0,0,0.083093558,0.00040381,0
1,13,113,9.288637168,53.6419115,2.684182071,1.113871312,-1.727816879,0,0.06187709,0.000367297,9.288637168,53.6419115,0,43.91941402,13,251,1,0,0,,,TRUE,9.078766191,52.31633144,9.498508146,54.96749157,FALSE,13,FALSE,,FALSE,TRUE,0,FALSE,1,0,0,,,,,,,,,,6.316166656,0,0,1,,2.684182071,2.684182071,"[9.288637168141593, 53.641911504424776]",0.083333333,0.556935656,"[-0.15637611148201813, -0.9876975811237787]","[[9.078766190772374, 52.31633143512182], [9.498508145510812, 54.967491573727735]]",0,0,0.06187709,0.000367297,0
1,14,138,7.12173913,53.84973913,2.794831834,1.316599099,-1.701940622,0,0.070807612,0.00036887,7.12173913,53.84973913,0,52.58044624,14,252,1,0,0,,,TRUE,6.939000872,52.46432296,7.304477389,55.2351553,FALSE,14,FALSE,,FALSE,TRUE,0,FALSE,1,0,0,,,,,,,,,,7.581423766,0,0,1,,2.794831834,2.794831834,"[7.121739130434783, 53.84973913043477]",0.083333333,0.65829955,"[-0.13076869668603225, -0.9914129048822375]","[[6.939000872216256, 52.46432295665026], [7.30447738865331, 55.23515530421928]]",0,0,0.070807612,0.00036887,0
1,15,160,71.0721,55.5516,2.971054239,1.43601072,-2.324846943,0,0.000371557,0.129939345,71.0721,55.5516,0,3.341308134,15,15,1,0,0,,,TRUE,70.05511266,54.46876687,72.08908734,56.63443313,FALSE,15,TRUE,"[49, 52]",FALSE,FALSE,2,FALSE,1,0,0,3.807552674,2.335959218,1.535938248,,,,,1.318926605,,1.06474593,0,0,1,,2.971054239,2.971054239,"[71.07209999999999, 55.55159999999999]",0.083333333,0.71800536,"[-0.6845969507744224, -0.7289218167885793]","[[70.05511266361806, 54.46876687308068], [72.08908733638192, 56.634433126919305]]",0,0,0.000371557,0.129939345,0
1,16,116,9.794482759,55.75531034,2.598977348,1.19600993,-1.139142698,0,0.069759513,0.000526173,9.794482759,55.75531034,0,140.6735841,16,16,1,0,0,,,TRUE,10.33815415,54.57501706,9.250811363,56.93560362,FALSE,16,TRUE,"[514, 525]",FALSE,FALSE,13,FALSE,12,0,0,,,,,,,,,,-2.170968142,0,0,1,0.762,2.598977348,5.57817114,"[9.79448275862069, 55.75531034482758]",0.083333333,0.598004965,"[0.4183733239135929, -0.9082751575582654]","[[10.338154154494195, 54.5750170648265], [9.250811362747186, 56.93560362482866]]",0,0,0.069759513,0.000526173,0
1,17,248,10.36858065,56.78129032,5.304271457,1.268902403,-0.869938433,0,0.082704637,0.000496164,10.36858065,56.78129032,0,22.31741891,17,17,1,0,0,,,TRUE,12.07887297,54.75429153,8.658288321,58.80828911,FALSE,17,TRUE,"[48, 50]",FALSE,FALSE,2,FALSE,1,0,0,29.46570205,1.640697724,2.637813158,,,,,1.090734231,,-1.185176802,0,0,1,,5.304271457,5.304271457,"[10.36858064516129, 56.78129032258064]",0.083333333,0.634451201,"[0.644873603638883, -0.764289235387887]","[[12.078872969800186, 54.75429153442739], [8.658288320522393, 58.80828911073389]]",0,0,0.082704637,0.000496164,0
